book_id,t_book_id,book_title,lang,book_source,country,tags,判定A_日本オリジナルタグ,判定B_t_book_id_14000,判定C_lang_ja,判定D_国タグ日本,タグで日本オリジナル,ID形式で日本向け,日本語版,撮影地が日本
6901b1f0e12f46f83f05026d,140000000000000355,おかえりパパとママだよ,ja,1,アメリカ合衆国,サスペンス,○,○,○,×,True,True,True,False
6854d0b61cc7f0fc460aa3a1,140000000000000272,人を呪わば穴二つ,ja,1,アメリカ合衆国,女性向けのドラマ|ドラマ|復讐|浮気|隣人|家庭主婦,○,○,○,×,True,True,True,False
684a3c59bf0dba6aa601c07a,140000000000000257,調停者,ja,1,アメリカ合衆国,男向けのドラマ|復讐|モダン|守る夫|医者,○,○,○,×,True,True,True,False
686f5afe374f7f776f0f5956,140000000000000279,空飛ぶ修羅場,ja,1,アメリカ合衆国,復讐,○,○,○,×,True,True,True,False
68d2060f4d6ba943670b0645,140000000000000334,偽りのルナと運命のつがい,ja,1,アメリカ合衆国,復讐,○,○,○,×,True,True,True,False
683fc14255a5ba21da0e3257,140000000000000248,血塗られた花嫁 ～ 愛は狂気に染まる～,ja,1,アメリカ合衆国,女性向けのドラマ|悪女ヒロイン|モダン|身分を隠せ|秘密|ストロングウィル,○,○,○,×,True,True,True,False
683555d81e10c5078109db7f,140000000000000238,私を捨てた消防士が今や大富豪！？,ja,1,アメリカ合衆国,女性向けのドラマ|二度目のチャンス|モダン|三角関係|復讐|再会|相続人/社会人|インディペンデント・ウーマン,○,○,○,×,True,True,True,False
6891d5baab41bb6d890f74c6,140000000000000298,お前は天才外科医を解雇した,ja,1,アメリカ合衆国,カムバックストーリー,○,○,○,×,True,True,True,False
67b29b077d337cf4930211f0,140000000000000176,偽装結婚は恋の始まり,ja,1,アメリカ合衆国,女性向けのドラマ|悪女ヒロイン|モダン|身分を隠せ|とぼける|タブー|億万長者|インディペンデント・ウーマン,○,○,○,×,True,True,True,False
67d783bf58f79dd7d108992c,140000000000000186,切ない愛を終らせて,ja,1,アメリカ合衆国,女性向けのドラマ|中毒性がある恋愛|モダン|離婚後の愛|三角関係|あまりに遅すぎる|家庭主婦,○,○,○,×,True,True,True,False
67ea30c546ee7e7ada061311,140000000000000198,サレ夫の逆襲,ja,1,アメリカ合衆国,男向けのドラマ|カムバックストーリー|モダン|多重アイデンティティ|離婚後の愛|人違い|ロイヤル/貴族|元帥/将軍,○,○,○,×,True,True,True,False
68d6173ecea0f35b1009516b,140000000000000337,出生時にすり替えられた令嬢？,ja,1,アメリカ合衆国,復讐,○,○,○,×,True,True,True,False
665e400dd9de5760ea05e1be,140000000000000016,さようなら、私のCEO,ja,1,アメリカ合衆国,タブー|お涙ちょうだい|オフィスラブ|億万長者|無邪気な乙女|コンテンポラリー|トキシック|女性向けのドラマ|Maryana Dvorska|Kasey Esser,○,○,○,×,True,True,True,False
67847aee5c7f2734a10bb3a6,140000000000000157,嘘の恋人 〜週末限定ラブゲーム〜,ja,1,アメリカ合衆国,女性向けのドラマ|二度目のチャンス|モダン|偽りの恋人|再会|ワンナイトラブ|ストロングウィル,○,○,○,×,True,True,True,False
669a07a8f6e32dc509077727,140000000000000036,また愛し合える日が来る,ja,1,アメリカ合衆国,復讐|二度目のチャンス|お涙ちょうだい|億万長者|インディペンデント・ウーマン|コンテンポラリー|スイート|女性向けのドラマ|Alena Savostikova|Seth Edeen,○,○,○,×,True,True,True,False
6697b5895ec386c1bf0932c5,140000200000000001,元彼のお父さんとの子供を妊娠,ja,1,アメリカ合衆国,妊娠|医療ドラマ|年齢差|タブー|禁じられた|女性向けのドラマ|スイート|コンテンポラリー,○,×,○,×,True,False,True,False
67e0c6621e8d3e9fec0220ef,140000000000000185,二度目の初恋,ja,1,アメリカ合衆国,女性向けのドラマ|甘いロマンス|モダン|偽りの恋人|契約の恋人|学園ハンサム|医者,○,○,○,×,True,True,True,False
67ea0b242f4d01a1f404c2d7,140000000000000199,相続者の華麗なる帰還,ja,1,アメリカ合衆国,男向けのドラマ|カムバックストーリー|モダン|身分を隠せ|とぼける|ロイヤル/貴族|ストロングウィル,○,○,○,×,True,True,True,False
681d6b64ac0e0dc6070023f0,140000000000000225,お兄ちゃんの親友と恋しちゃダメですか？,ja,1,アメリカ合衆国,女性向けのドラマ|ヤングアダルト|モダン|初恋|学園ロマンス|年齢差|幼馴染みの恋人|学生,○,○,○,×,True,True,True,False
68ae5c47491efec5de075cac,140000000000000315,裏切りと変身～お嬢様をナメるな！~,ja,1,アメリカ合衆国,ヤングアダルト,○,○,○,×,True,True,True,False
